Gene stable ID,Gene name,NCBI gene ID
ENSG00000101365,IDH3B,3420
ENSG00000104783,KCNN4,3783
ENSG00000104805,NUCB1,4924
ENSG00000104808,DHDH,27294
ENSG00000104812,GYS1,2997
ENSG00000104852,SNRNP70,6625
ENSG00000104853,CLPTM1,1209
ENSG00000104856,RELB,5971
ENSG00000104859,CLASRP,11129
ENSG00000104863,LIN7B,64130
ENSG00000104866,PPP1R37,284352
ENSG00000104870,FCGRT,2217
ENSG00000104872,PIH1D1,55011
ENSG00000104879,CKM,1158
ENSG00000104881,PPP1R13L,10848
ENSG00000104884,ERCC2,2068
ENSG00000104892,KLC3,147700
ENSG00000104894,CD37,951
ENSG00000104936,DMPK,1760
ENSG00000104946,TBC1D17,79735
ENSG00000104951,IL4I1,259307
ENSG00000104960,PTOV1,53635
ENSG00000104970,KIR3DX1,
ENSG00000104972,LILRB1,10859
ENSG00000104973,MED25,81857
ENSG00000104974,LILRA1,11024
ENSG00000104983,CCDC61,729440
ENSG00000105048,TNNT1,7138
ENSG00000105053,VRK3,51231
ENSG00000105063,PPP6R1,22870
ENSG00000105136,ZNF419,79744
ENSG00000105146,AURKC,6795
ENSG00000105281,SLC1A5,6510
ENSG00000105287,PRKD2,25865
ENSG00000105321,CCDC9,26093
ENSG00000105327,BBC3,27113
ENSG00000105370,LIM2,3982
ENSG00000105373,NOP53,29997
ENSG00000105374,NKG7,4818
ENSG00000105379,ETFB,2109
ENSG00000105383,CD33,945
ENSG00000105402,NAPA,8775
ENSG00000105438,KDELR1,10945
ENSG00000105443,CYTH2,9266
ENSG00000105447,GRWD1,83743
ENSG00000105472,CLEC11A,6320
ENSG00000105479,CCDC114,93233
ENSG00000105483,CARD8,22900
ENSG00000105486,LIG1,3978
ENSG00000105497,ZNF175,7728
ENSG00000105499,PLA2G4C,8605
ENSG00000105501,SIGLEC5,8778
ENSG00000105507,CABP5,56344
ENSG00000105509,HAS1,3036
ENSG00000105516,DBP,1628
ENSG00000105552,BCAT2,587
ENSG00000105559,PLEKHA4,57664
ENSG00000105568,PPP2R1A,5518
ENSG00000105609,LILRB5,10990
ENSG00000105617,LENG1,79165
ENSG00000105618,PRPF31,26121
ENSG00000105619,TFPT,29844
ENSG00000105755,ETHE1,23474
ENSG00000105767,CADM4,199731
ENSG00000105771,SMG9,56006
ENSG00000108106,UBE2S,27338
ENSG00000108107,RPL28,6158
ENSG00000117877,CD3EAP,10849
ENSG00000118162,KPTN,11133
ENSG00000119574,ZBTB45,84878
ENSG00000121406,ZNF549,256051
ENSG00000121410,A1BG,1
ENSG00000121413,ZSCAN18,65982
ENSG00000121417,ZNF211,10520
ENSG00000123870,ZNF137P,
ENSG00000124444,ZNF576,79177
ENSG00000124459,ZNF45,7596
ENSG00000124466,LYPD3,27076
ENSG00000124469,CEACAM8,1088
ENSG00000125498,KIR2DL1,3802
ENSG00000125503,PPP1R12C,54776
ENSG00000125505,MBOAT7,79143
ENSG00000125740,FOSB,2354
ENSG00000125741,OPA3,80207
ENSG00000125743,SNRPD2,6633
ENSG00000125744,RTN2,6253
ENSG00000125746,EML2,24139
ENSG00000125753,VASP,7408
ENSG00000125755,SYMPK,8189
ENSG00000125775,SDCBP2,27111
ENSG00000125780,TGM3,7053
ENSG00000125818,PSMF1,9491
ENSG00000125826,RBCK1,10616
ENSG00000125834,STK35,140901
ENSG00000125835,SNRPB,6628
ENSG00000125841,NRSN2,80023
ENSG00000125875,TBC1D20,128637
ENSG00000125898,FAM110A,83541
ENSG00000125900,SIRPD,128646
ENSG00000125901,MRPS26,64949
ENSG00000126453,BCL2L12,83596
ENSG00000126456,IRF3,3661
ENSG00000126457,PRMT1,3276
ENSG00000126458,RRAS,6237
ENSG00000126460,PRRG2,5639
ENSG00000126461,SCAF1,58506
ENSG00000126464,PRR12,57479
ENSG00000126467,TSKS,60385
ENSG00000129437,KLK14,43847
ENSG00000129450,SIGLEC9,27180
ENSG00000129991,TNNI3,7137
ENSG00000130202,NECTIN2,5819
ENSG00000130203,APOE,348
ENSG00000130204,TOMM40,10452
ENSG00000130208,APOC1,341
ENSG00000130529,TRPM4,54795
ENSG00000130724,CHMP2A,27243
ENSG00000130725,UBE2M,9040
ENSG00000130726,TRIM28,10155
ENSG00000130748,TMEM160,54958
ENSG00000130749,ZC3H4,23211
ENSG00000130844,ZNF331,55422
ENSG00000131037,EPS8L1,54869
ENSG00000131042,LILRB2,10288
ENSG00000131115,ZNF227,7770
ENSG00000131116,ZNF428,126299
ENSG00000131398,KCNC3,3748
ENSG00000131400,NAPSA,9476
ENSG00000131401,NAPSB,
ENSG00000131408,NR1H2,7376
ENSG00000131845,AC005261.1,57343
ENSG00000131848,ZSCAN5A,79149
ENSG00000131849,ZNF132,7691
ENSG00000132635,PCED1A,64773
ENSG00000132670,PTPRA,5786
ENSG00000133247,KMT5C,84787
ENSG00000133265,HSPBP1,23640
ENSG00000134815,DHX34,9704
ENSG00000134830,C5AR2,27202
ENSG00000142227,EMP3,2014
ENSG00000142230,SAE1,10055
ENSG00000142233,NTN5,126147
ENSG00000142235,LMTK3,114783
ENSG00000142252,GEMIN7,79760
ENSG00000142396,ERVK3-1,
ENSG00000142405,NLRP12,91662
ENSG00000142409,ZNF787,126208
ENSG00000142512,SIGLEC10,89790
ENSG00000142528,ZNF473,25888
ENSG00000142534,RPS11,6205
ENSG00000142541,RPL13A,23521
ENSG00000142544,CTU1,90353
ENSG00000142546,NOSIP,51070
ENSG00000142552,RCN3,57333
ENSG00000142556,ZNF614,80110
ENSG00000152433,ZNF547,284306
ENSG00000152439,ZNF773,374928
ENSG00000152443,ZNF776,284309
ENSG00000152454,AC010326.1,10172
ENSG00000152475,ZNF837,116412
ENSG00000159882,ZNF230,7773
ENSG00000159885,ZNF222,7673
ENSG00000159917,ZNF235,9310
ENSG00000160007,ARHGAP35,2909
ENSG00000160013,PTGIR,5739
ENSG00000160014,CALM3,808
ENSG00000160318,CLDND2,125875
ENSG00000160336,ZNF761,388561
ENSG00000160336,ZNF761,110116772
ENSG00000160439,RDH13,112724
ENSG00000160469,BRSK1,84446
ENSG00000160471,COX6B2,125965
ENSG00000161551,ZNF577,84765
ENSG00000161558,TMEM143,55260
ENSG00000161618,ALDH16A1,126133
ENSG00000161640,SIGLEC11,114132
ENSG00000161643,SIGLEC16,400709
ENSG00000161671,EMC10,284361
ENSG00000161677,JOSD2,126119
ENSG00000166704,ZNF606,80095
ENSG00000166770,ZNF667-AS1,
ENSG00000167378,IRGQ,126298
ENSG00000167380,ZNF226,7769
ENSG00000167384,ZNF180,7733
ENSG00000167414,GNG8,94235
ENSG00000167555,ZNF528,84436
ENSG00000167562,ZNF701,55762
ENSG00000167608,TMC4,147798
ENSG00000167613,LAIR1,3903
ENSG00000167615,LENG8,114823
ENSG00000167618,LAIR2,3904
ENSG00000167633,KIR3DL1,3811
ENSG00000167634,NLRP7,199713
ENSG00000167685,ZNF444,55311
ENSG00000167747,C19orf48,84798
ENSG00000167748,KLK1,3816
ENSG00000167766,ZNF83,55769
ENSG00000168995,SIGLEC7,27036
ENSG00000169136,ATF5,22809
ENSG00000170604,IRF2BP1,26145
ENSG00000170684,ZNF296,162979
ENSG00000170858,LILRP2,
ENSG00000170889,RPS9,6203
ENSG00000170892,TSEN34,79042
ENSG00000170906,NDUFA3,4696
ENSG00000170909,OSCAR,126014
ENSG00000170949,ZNF160,90338
ENSG00000171049,FPR2,2358
ENSG00000171051,FPR1,2357
ENSG00000171101,SIGLEC17P,
ENSG00000171425,ZNF581,51545
ENSG00000171443,ZNF524,147807
ENSG00000171574,ZNF584,201514
ENSG00000171606,ZNF274,10782
ENSG00000171649,ZIK1,284307
ENSG00000173480,ZNF417,147687
ENSG00000173581,CCDC106,29903
ENSG00000174586,ZNF497,162968
ENSG00000176024,ZNF613,79898
ENSG00000176182,MYPOP,339344
ENSG00000176222,ZNF404,342908
ENSG00000176293,ZNF135,7694
ENSG00000176472,ZNF575,284346
ENSG00000176531,PHLDB3,653583
ENSG00000176593,AC008969.1,
ENSG00000177025,C19orf18,147685
ENSG00000177045,SIX5,147912
ENSG00000177051,FBXO46,23403
ENSG00000177380,PPFIA3,8541
ENSG00000177732,SOX12,6666
ENSG00000178229,ZNF543,125919
ENSG00000178386,ZNF223,7766
ENSG00000178935,ZNF552,79818
ENSG00000178980,SELENOW,6415
ENSG00000179820,MYADM,91663
ENSG00000179909,ZNF154,7710
ENSG00000179922,ZNF784,147808
ENSG00000179943,FIZ1,84922
ENSG00000180061,TMEM150B,284417
ENSG00000180089,TMEM86B,255043
ENSG00000180257,ZNF816,125893
ENSG00000181027,FKRP,79147
ENSG00000181894,ZNF329,79673
ENSG00000182310,SPACA6,147650
ENSG00000182318,ZSCAN22,342945
ENSG00000182986,ZNF320,162967
ENSG00000183207,RUVBL2,10856
ENSG00000183647,ZNF530,348327
ENSG00000185019,UBOX5,22888
ENSG00000185453,ZSWIM9,374920
ENSG00000185800,DMWD,1762
ENSG00000186026,ZNF284,342909
ENSG00000186152,LILRP1,
ENSG00000186230,ZNF749,388567
ENSG00000186272,ZNF17,7565
ENSG00000186431,FCAR,2204
ENSG00000186567,CEACAM19,56971
ENSG00000186806,VSIG10L,147645
ENSG00000186818,LILRB4,11006
ENSG00000187116,LILRA5,353514
ENSG00000187244,BCAM,4059
ENSG00000187474,FPR3,2359
ENSG00000188785,ZNF548,147694
ENSG00000189013,KIR2DL4,3805
ENSG00000189068,VSTM1,284415
ENSG00000189114,BLOC1S3,388552
ENSG00000189190,ZNF600,162966
ENSG00000189430,NCR1,9437
ENSG00000196209,SIRPB2,284759
ENSG00000196214,ZNF766,90321
ENSG00000196267,ZNF836,162962
ENSG00000196417,ZNF765,91661
ENSG00000196476,C20orf96,140680
ENSG00000196724,ZNF418,147686
ENSG00000196867,ZFP28,140612
ENSG00000196961,AP2A1,160
ENSG00000197128,ZNF772,400720
ENSG00000197405,C5AR1,728
ENSG00000197483,ZNF628,89887
ENSG00000197608,ZNF841,284371
ENSG00000197619,ZNF615,284370
ENSG00000197714,ZNF460,10794
ENSG00000197813,AC011450.1,
ENSG00000197937,ZNF347,84671
ENSG00000197951,ZNF71,58491
ENSG00000198053,SIRPA,140885
ENSG00000198093,ZNF649,65251
ENSG00000198131,ZNF544,27300
ENSG00000198346,ZNF813,126017
ENSG00000198464,ZNF480,147657
ENSG00000198466,ZNF587,84914
ENSG00000198482,ZNF808,388558
ENSG00000198538,ZNF28,7576
ENSG00000199631,SNORD33,
ENSG00000200259,SNORD35A,
ENSG00000200530,SNORD35B,
ENSG00000203326,ZNF525,170958
ENSG00000204514,ZNF814,730051
ENSG00000204519,ZNF551,90233
ENSG00000204524,ZNF805,390980
ENSG00000204577,LILRB3,11025
ENSG00000204577,LILRB3,102725035
ENSG00000204577,LILRB3,107987425
ENSG00000204577,LILRB3,107987462
ENSG00000204604,ZNF468,90333
ENSG00000204611,ZNF616,90317
ENSG00000204673,AKT1S1,84335
ENSG00000204920,ZNF155,7711
ENSG00000204933,CD177P1,
ENSG00000204936,CD177,57126
ENSG00000213015,ZNF580,51157
ENSG00000213020,ZNF611,81856
ENSG00000213024,NUP62,23636
ENSG00000213753,CENPBD1P1,
ENSG00000213762,ZNF134,7693
ENSG00000213799,ZNF845,91664
ENSG00000213889,PPM1N,147699
ENSG00000215251,FASTKD5,60493
ENSG00000215305,VPS16,64601
ENSG00000215388,ACTG1P3,
ENSG00000218891,ZNF579,163033
ENSG00000221803,SNORD23,
ENSG00000221916,C19orf73,55150
ENSG00000221923,ZNF880,400713
ENSG00000221957,KIR2DS4,3809
ENSG00000223660,AC245052.1,
ENSG00000223750,SIRPB3P,
ENSG00000224420,ADM5,199800
ENSG00000225370,AC243962.1,
ENSG00000225377,NRSN2-AS1,
ENSG00000226696,LENG8-AS1,
ENSG00000226763,SRRM5,100170229
ENSG00000228323,MYADM-AS1,
ENSG00000229000,SEPTIN7P8,
ENSG00000229728,AL136531.1,
ENSG00000231412,AC005392.2,
ENSG00000232098,AC012313.1,
ENSG00000232528,AL109809.1,
ENSG00000233493,TMEM238,388564
ENSG00000234282,AL109809.2,
ENSG00000234436,AC245884.2,
ENSG00000234465,PINLYP,390940
ENSG00000234684,SDCBP2-AS1,
ENSG00000235081,AC245052.3,
ENSG00000235191,NUCB1-AS1,
ENSG00000235555,SUMO1P4,
ENSG00000235681,AC245884.3,
ENSG00000235958,UBOX5-AS1,
ENSG00000238150,AC008753.1,
ENSG00000239948,RN7SL368P,
ENSG00000239961,LILRA4,23547
ENSG00000239998,LILRA2,11027
ENSG00000240225,ZNF542P,
ENSG00000240403,KIR3DL2,3812
ENSG00000241015,TPM3P9,
ENSG00000242473,KIR2DP1,
ENSG00000243560,RN7SL364P,
ENSG00000243772,KIR2DL3,3804
ENSG00000244071,RPL9P33,
ENSG00000244482,LILRA6,79168
ENSG00000248385,TARM1,441864
ENSG00000249471,ZNF324B,388569
ENSG00000250731,TPM3P6,
ENSG00000251369,ZNF550,162972
ENSG00000252103,RNU6-917P,
ENSG00000254415,SIGLEC14,100049587
ENSG00000254521,SIGLEC12,89858
ENSG00000254760,AC008750.1,
ENSG00000255441,AC008750.2,
ENSG00000256060,TRAPPC2B,10597
ENSG00000256087,ZNF432,9668
ENSG00000256294,AC021092.2,7768
ENSG00000256683,ZNF350,59348
ENSG00000257704,INAFM1,255783
ENSG00000260160,AC011468.1,
ENSG00000260366,AC026803.1,
ENSG00000261221,ZNF865,100507290
ENSG00000262874,C19orf84,147646
ENSG00000263002,ZNF234,10780
ENSG00000267117,AC010525.1,
ENSG00000267265,AC011476.3,
ENSG00000267348,GEMIN7-AS1,
ENSG00000267454,ZNF582-AS1,
ENSG00000267523,AC008735.2,
ENSG00000267680,ZNF224,7767
ENSG00000267757,EML2-AS1,
ENSG00000267809,NDUFV2P1,
ENSG00000267838,AC245884.8,
ENSG00000267858,MZF1-AS1,
ENSG00000267871,ZNF460-AS1,
ENSG00000267895,AC063977.1,
ENSG00000267898,AC026803.2,
ENSG00000267990,AC063977.2,
ENSG00000268001,CARD8-AS1,
ENSG00000268006,PTOV1-AS1,
ENSG00000268047,AC018766.1,
ENSG00000268049,AC012313.2,
ENSG00000268061,NAPA-AS1,
ENSG00000268205,AC005261.2,
ENSG00000268516,AC020915.3,105372482
ENSG00000268518,AC020909.2,
ENSG00000268520,AC008750.5,
ENSG00000268581,SIGLEC18P,
ENSG00000268583,AC011466.1,
ENSG00000268593,AC008749.1,
ENSG00000268713,AC005261.4,
ENSG00000268734,AC245128.3,
ENSG00000268810,AC007193.1,
ENSG00000268849,SIGLEC22P,
ENSG00000268895,A1BG-AS1,
ENSG00000268970,AC022150.2,
ENSG00000269001,AC092070.2,
ENSG00000269072,AC063977.6,
ENSG00000269148,AC092301.1,
ENSG00000269194,AC006942.1,
ENSG00000269271,AC245036.5,
ENSG00000269343,ZNF587B,100293516
ENSG00000269352,PTOV1-AS2,
ENSG00000269404,SPIB,6689
ENSG00000269524,AC245052.7,
ENSG00000269564,AC008753.2,
ENSG00000269681,AC063977.7,
ENSG00000269825,AC022150.4,
ENSG00000269834,ZNF528-AS1,
ENSG00000269867,AC010326.4,
ENSG00000269877,AC008753.3,
ENSG00000270804,AC010326.5,
ENSG00000271303,SRXN1,140809
ENSG00000272396,AC005392.3,
